cases,harga_saham,Tavg,ff_avg,ddd_car
13942,346,26.9,2,S 
13788,342,26.5,2,SW
12779,338,26.2,2,N 
11272,348,27,2,N 
12824,346,26.5,3,W 
11177,370,26.5,2,N 
10830,368,27.4,2,W 
13649,378,27.3,2,SW
13141,372,28,2,N 
12558,368,27.8,2,SW
11488,370,28.5,3,W 
10592,364,27.5,3,W 
10454,348,27.8,4,SW
12215,348,27.6,2,SW
9961,344,28.6,2,NW
