Date,Open,High,Low,Close,Adj Close,Volume
2015-01-28,63.132500,63.252499,61.575001,61.590000,58.766647,11430800
2015-01-29,61.882500,62.200001,61.292500,62.000000,59.157860,15668400
2015-01-30,65.099998,65.904999,63.727501,63.727501,60.806164,22151600
2015-02-02,64.077499,64.077499,62.424999,63.834999,60.908737,13665200
2015-02-03,64.177498,65.112503,63.685001,64.947502,61.970242,15075600
2015-02-04,64.897499,66.682503,64.775002,66.222504,63.186787,22170800
2015-02-05,66.812500,67.949997,66.474998,67.949997,64.835075,16565600
2015-02-06,67.937500,68.112503,66.510002,66.855003,63.790310,11242000
2015-02-09,66.852501,67.084999,66.320000,66.364998,63.322746,7834400
2015-02-10,66.687500,66.967499,65.907501,66.137497,63.105682,9396800
2015-02-11,66.245003,66.574997,66.062500,66.497498,63.564537,8795600
2015-02-12,66.904999,67.727501,66.764999,67.727501,64.740280,11641600
2015-02-13,68.187500,68.187500,67.195000,67.407501,64.434364,8476000
2015-02-17,67.870003,67.997498,67.467499,67.717499,64.730705,6810400
2015-02-18,67.717499,67.750000,67.037498,67.279999,64.312508,6429200
2015-02-19,67.517502,67.517502,67.000000,67.275002,64.307709,5654800
2015-02-20,67.260002,68.250000,66.764999,68.250000,65.239723,9034800
2015-02-23,68.239998,68.330002,67.562500,68.252502,65.242104,6654800
2015-02-24,68.452499,68.452499,67.792503,68.117500,65.113068,9045200
2015-02-25,67.815002,68.557503,67.815002,68.252502,65.242104,6842800
2015-02-26,68.300003,68.625000,68.004997,68.437500,65.418953,13459600
2015-02-27,68.367500,68.547501,67.827499,67.827499,64.835869,7965200
2015-03-02,69.177498,69.572502,68.610001,69.572502,66.503891,11653600
2015-03-03,69.662498,69.662498,68.375000,68.824997,65.789368,8807200
2015-03-04,68.787498,68.787498,68.062500,68.437500,65.418953,8021200
2015-03-05,68.750000,68.785004,68.437500,68.532501,65.509773,6756000
2015-03-06,68.349998,68.620003,67.312500,67.334999,64.365074,11590800
2015-03-09,67.629997,68.052498,67.269997,67.855003,64.862137,8902000
2015-03-10,67.410004,67.464996,66.300003,66.300003,63.375736,11125600
2015-03-11,66.407501,66.845001,65.762497,66.187500,63.268185,12105200
2015-03-12,66.599998,67.500000,66.574997,67.394997,64.422417,9530800
2015-03-13,67.209999,67.209999,66.125000,66.257500,63.335106,12578800
2015-03-16,66.722504,67.512497,66.657501,67.254997,64.288605,9849600
2015-03-17,67.014999,67.089996,66.035004,66.125000,63.208431,14290800
2015-03-18,66.022499,66.995003,64.752502,66.917503,63.965988,50658000
2015-03-19,66.830002,67.190002,65.750000,66.809998,63.863251,15407500
2015-03-20,67.250000,67.699997,66.779999,67.410004,64.436790,15372000
2015-03-23,68.029999,68.209999,67.070000,67.080002,64.121315,8128000
2015-03-24,67.099998,67.690002,66.839996,67.099998,64.140450,6534800
2015-03-25,67.099998,67.430000,65.730003,65.730003,62.830875,13054300
2015-03-26,65.250000,66.300003,65.019997,65.589996,62.697044,9487200
2015-03-27,65.519997,65.809998,65.150002,65.540001,62.649261,6521100
2015-03-30,66.019997,66.320000,65.500000,65.660004,62.763950,11237100
2015-03-31,65.470001,66.209999,65.389999,65.410004,62.524986,7400500
2015-04-01,65.449997,65.519997,64.449997,65.180000,62.305122,7633000
2015-04-02,64.989998,65.620003,64.809998,65.290001,62.410263,5083000
2015-04-06,64.730003,65.639999,64.410004,65.199997,62.324245,8351200
2015-04-07,65.379997,66.190002,65.309998,65.800003,62.897774,6660800
2015-04-08,65.889999,66.839996,65.800003,66.500000,63.566887,6604200
2015-04-09,66.570000,66.820000,65.760002,66.440002,63.509544,5408500
2015-04-10,66.690002,66.690002,65.930000,66.339996,63.413956,4628500
2015-04-13,66.220001,66.800003,65.510002,65.610001,62.716156,5059800
2015-04-14,65.519997,65.940002,64.879997,65.529999,62.639694,5621800
2015-04-15,65.599998,65.910004,65.300003,65.680000,62.783073,5347100
2015-04-16,65.529999,66.010002,65.349998,65.650002,62.754391,4121300
